country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name
"MNE",93,"XER","Rest of Europe","Montenegro"
"MKD",93,"XER","Rest of Europe","North Macedonia"
"SMR",93,"XER","Rest of Europe","San Marino"
"CRQ",93,"XER","Rest of Europe","Sark"
"KAZ",94,"KAZ","Kazakhstan","Kazakhstan"
"KGZ",95,"KGZ","Kyrgyzstan","Kyrgyzstan"
"TJK",96,"TJK","Tajikistan","Tajikistan"
"UZB",97,"UZB","Uzbekistan","Uzbekistan"
"TKM",98,"XSU","Rest of Former Soviet Union","Turkmenistan"
"ARM",99,"ARM","Armenia","Armenia"
"AZE",100,"AZE","Azerbaijan","Azerbaijan"
"GEO",101,"GEO","Georgia","Georgia"
"BHR",102,"BHR","Bahrain","Bahrain"
"IRN",103,"IRN","Iran, Islamic Republic of","Iran, Islamic Republic of"
"IRQ",104,"IRQ","Iraq","Iraq"
"ISR",105,"ISR","Israel","Israel"
"JOR",106,"JOR","Jordan","Jordan"
"KWT",107,"KWT","Kuwait","Kuwait"
"LBN",108,"LBN","Lebanon","Lebanon"
"OMN",109,"OMN","Oman","Oman"
"PSE",110,"PSE","Palestineian Territory, Occupied","Palestineian Territory, Occupied"
"QAT",111,"QAT","Qatar","Qatar"
"SAU",112,"SAU","Saudi Arabia","Saudi Arabia"
"SYR",113,"SYR","Syrian Arab Republic","Syrian Arab Republic"
"TUR",114,"TUR","Turkey","Turkey"
"ARE",115,"ARE","United Arab Emirates","United Arab Emirates"
"YEM",116,"XWS","Rest of Western Asia","Yemen"
"DZA",117,"DZA","Algeria","Algeria"
"EGY",118,"EGY","Egypt","Egypt"
"MAR",119,"MAR","Morocco","Morocco"
"TUN",120,"TUN","Tunisia","Tunisia"
"LBY",121,"XNF","Rest of North Africa","Libya"
"ESH",121,"XNF","Rest of North Africa","Western Sahara"
"BEN",122,"BEN","Benin","Benin"
"BFA",123,"BFA","Burkina Faso","Burkina Faso"
"CMR",124,"CMR","Cameroon","Cameroon"
"CIV",125,"CIV","Côte d'Ivoire","Côte d'Ivoire"
"GHA",126,"GHA","Ghana","Ghana"
"GIN",127,"GIN","Guinea","Guinea"
"MLI",128,"MLI","Mali","Mali"
"NER",129,"NER","Niger","Niger"
"NGA",130,"NGA","Nigeria","Nigeria"
"SEN",131,"SEN","Senegal","Senegal"
"TGO",132,"TGO","Togo","Togo"
"CPV",133,"XWF","Rest of Western Africa","Cabo Verde"
"GMB",133,"XWF","Rest of Western Africa","Gambia"
"GNB",133,"XWF","Rest of Western Africa","Guinea-Bissau"
"LBR",133,"XWF","Rest of Western Africa","Liberia"
"MRT",133,"XWF","Rest of Western Africa","Mauritania"
"SHN",133,"XWF","Rest of Western Africa","Saint Helena"
"SLE",133,"XWF","Rest of Western Africa","Sierra Leone"
"CAF",134,"CAF","Central African Republic","Central African Republic"
"TCD",135,"TCD","Chad","Chad"
"COG",136,"COG","Congo","Congo"
"COD",137,"COD","Democratic Republic of the Congo","Democratic Republic of the Congo"
"GNQ",138,"GNQ","Equatorial Guinea","Equatorial Guinea"
"GAB",139,"GAB","Gabon","Gabon"
"AGO",140,"XAC","Rest of South and Central Africa","Angola"
"STP",140,"XAC","Rest of South and Central Africa","Sao Tome and Principe"
"COM",141,"COM","Comoros","Comoros"
"ETH",142,"ETH","Ethiopia","Ethiopia"
"KEN",143,"KEN","Kenya","Kenya"
"MDG",144,"MDG","Madagascar","Madagascar"
"MWI",145,"MWI","Malawi","Malawi"
"MUS",146,"MUS","Mauritius","Mauritius"
"MOZ",147,"MOZ","Mozambique","Mozambique"
"RWA",148,"RWA","Rwanda","Rwanda"
"SDN",149,"SDN","Sudan","Sudan"
"TZA",150,"TZA","Tanzania, United Republic of","Tanzania, United Republic of"
"UGA",151,"UGA","Uganda","Uganda"
"ZMB",152,"ZMB","Zambia","Zambia"
"ZWE",153,"ZWE","Zimbabwe","Zimbabwe"
"BDI",154,"XEC","Rest of Eastern Africa","Burundi"
"DJI",154,"XEC","Rest of Eastern Africa","Djibouti"
"ERI",154,"XEC","Rest of Eastern Africa","Eritrea"
"MYT",154,"XEC","Rest of Eastern Africa","Mayotte"
"SYC",154,"XEC","Rest of Eastern Africa","Seychelles"
"SOM",154,"XEC","Rest of Eastern Africa","Somalia"
"SSD",154,"XEC","Rest of Eastern Africa","South Sudan"
"BWA",155,"BWA","Botswana","Botswana"
"SWZ",156,"SWZ","Eswatini","Eswatini"
"NAM",157,"NAM","Namibia","Namibia"
"ZAF",158,"ZAF","South Africa","South Africa"
"LSO",159,"XSC","Rest of South African Customs Union","Lesotho"
"ATA",160,"XTW","Rest of the World","Antarctica"
"BVT",160,"XTW","Rest of the World","Bouvet Island"
"IOT",160,"XTW","Rest of the World","British Indian Ocean Territory"
"ATF",160,"XTW","Rest of the World","French Southern Territories"
